complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,physics_pass,physics_score,physics_detail
1,11697.47,111.36556,0.0,111.365560000000,PySRFunction(X=>111.365560000000),111.36556,True,0.95,"{'Q0_fail_count': 5, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
2,3919.7725,exp(x3),1.093338962700431,exp(x3),PySRFunction(X=>exp(x3)),exp((sqrt(t))),True,0.95,"{'Q0_fail_count': 5, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
3,510.42654,x18 * 11.9122505,2.038542166274775,x18*11.9122505,PySRFunction(X=>x18*11.9122505),(t - sqrt(t)) * 11.9122505,True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
5,476.09122,(x9 + 10.849511) * x18,0.0348186272923848,x18*(x9 + 10.849511),PySRFunction(X=>x18*(x9 + 10.849511)),((C_pg / C_eth) + 10.849511) * (t - sqrt(t)),True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
7,409.0079,x18 * ((x7 * -0.0112874) - -14.450728),0.0759375016334279,x18*(x7*(-0.0112874) - 1*(-14.450728)),PySRFunction(X=>x18*(x7*(-0.0112874) - 1*(-14.450728))),(t - sqrt(t)) * (((C_pg * C_eth) * -0.0112874) - -14.450728),True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
8,389.66174,x18 * (13.304954 - (square(x7) * 2.5154271e-5)),0.0484554418205118,x18*(13.304954 - 2.5154271e-5*x7**2),PySRFunction(X=>x18*(13.304954 - 2.5154271e-5*x7**2)),(t - sqrt(t)) * (13.304954 - (square((C_pg * C_eth)) * 2.5154271e-5)),True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
9,381.0561,x18 * ((x9 + 13.307285) - (x7 * 0.010926381)),0.0223324210573313,x18*(-0.010926381*x7 + x9 + 13.307285),PySRFunction(X=>x18*(-0.010926381*x7 + x9 + 13.307285)),(t - sqrt(t)) * (((C_pg / C_eth) + 13.307285) - ((C_pg * C_eth) * 0.010926381)),True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
10,362.18863,x18 * ((12.203786 - (square(x7) * 2.444553e-5)) + x9),0.0507814549216627,x18*(-2.444553e-5*x7**2 + x9 + 12.203786),PySRFunction(X=>x18*(-2.444553e-5*x7**2 + x9 + 12.203786)),(t - sqrt(t)) * ((12.203786 - (square((C_pg * C_eth)) * 2.444553e-5)) + (C_pg / C_eth)),True,1.0,"{'Q0_fail_count': 0, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
12,359.89362,(((12.081335 - (square(x7) * 2.4431021e-5)) + x9) * x18) - -2.1780741,0.0031783328393755,x18*(-2.4431021e-5*x7**2 + x9 + 12.081335) - 1*(-2.1780741),PySRFunction(X=>x18*(-2.4431021e-5*x7**2 + x9 + 12.081335) - 1*(-2.1780741)),(((12.081335 - (square((C_pg * C_eth)) * 2.4431021e-5)) + (C_pg / C_eth)) * (t - sqrt(t))) - -2.1780741,True,0.95,"{'Q0_fail_count': 5, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
14,359.52444,((((10.829474 - (square(x7) * 2.2036413e-5)) + x9) * x18) - -1.9691987) / 0.90501684,0.0005131648104668,(x18*(-2.2036413e-5*x7**2 + x9 + 10.829474) - 1*(-1.9691987))/0.90501684,PySRFunction(X=>(x18*(-2.2036413e-5*x7**2 + x9 + 10.829474) - 1*(-1.9691987))/0.90501684),((((10.829474 - (square((C_pg * C_eth)) * 2.2036413e-5)) + (C_pg / C_eth)) * (t - sqrt(t))) - -1.9691987) / 0.90501684,True,0.95,"{'Q0_fail_count': 5, 'Qpos_fail_count': np.int64(0), 'dQdt_fail_count': np.int64(0), 'nan_inf_count': 0}"
